市場,証券コード,銘柄名,業種,株価,配当利回り(%),売上高スコア,営業利益率スコア,EPSスコア,営業CFスコア,一株配当スコア,配当性向スコア,自己資本比率スコア,現金等スコア,総合スコア
東証STD,6223,(株)西部技研,機械,2192,3.19,9,28,-9,-6,9,6,10,15,62
東証PRM,6572,オープングループ(株),サービス業,214,3.04,21,6,5,9,0,-6,12,15,62
東証STD,5367,(株)ニッカトー,ガラス・土石製品,786,2.93,3,2,3,-3,13,21,20,3,62
東証PRM,7466,ＳＰＫ(株),卸売業,1246,2.93,15,-42,21,3,21,9,20,15,62
東証STD,2216,カンロ(株),食料品,1140,2.89,9,6,3,3,13,21,10,-3,62
名証,5979,カネソウ(株),,5190,2.89,9,2,9,3,9,-9,30,9,62
東証STD,7727,(株)オーバル,精密機器,736,2.72,9,2,-3,9,15,15,18,-3,62
東証PRM,2157,(株)コシダカホールディングス,サービス業,1001,2.6,15,10,-7,-2,21,14,8,3,62
東証PRM,7269,スズキ(株),輸送用機器,1808,2.54,9,6,9,9,19,9,4,-3,62
東証PRM,9048,名古屋鉄道(株),陸運業,1760,2.27,15,10,9,9,11,9,-10,9,62
東証STD,3920,アイビーシー(株),情報・通信,984,2.24,21,2,-7,-7,9,5,18,21,62
東証STD,4595,(株)ミズホメディー,医薬品,1755,5.7,3,24,-9,-3,3,21,19,3,61
東証PRM,6737,ＥＩＺＯ(株),電気機器,2203,4.99,3,-2,-3,4,21,9,20,9,61
東証PRM,9474,(株)ゼンリン,情報・通信,875,4.8,9,6,3,-3,21,-1,17,9,61
東証STD,2485,(株)ティア,サービス業,488,4.71,15,-2,3,3,15,3,9,15,61
東証PRM,1929,日特建設(株),建設業,1182,4.15,3,2,9,-1,21,11,13,3,61
東証STD,7417,(株)南陽,卸売業,1488,3.9,3,6,9,-3,13,19,11,3,61
東証PRM,4041,日本曹達(株),化学,3660,3.83,3,6,-9,9,13,17,19,3,61
東証STD,4761,(株)さくらケーシーエス,情報・通信,1304,3.68,-9,10,15,-2,11,7,20,9,61
東証STD,6158,(株)和井田製作所,機械,1000,3.4,3,-2,-3,-1,9,11,23,21,61
東証STD,6874,協立電機(株),電気機器,2717,3.31,9,10,9,-9,15,9,9,9,61
東証PRM,6238,フリュー(株),機械,1300,3,21,2,3,-9,9,11,21,3,61
東証STD,220A,(株)Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,情報・通信,1006,2.98,6,32,6,-3,0,0,14,6,61
東証PRM,6301,コマツ,機械,6566,2.89,9,0,9,3,13,13,5,9,61
東証PRM,8227,(株)しまむら,小売業,3181,2.51,0,0,0,6,10,12,27,6,61
東証STD,5984,兼房(株),金属製品,759,2.31,9,-2,3,-3,3,19,29,3,61
東証STD,1438,(株)岐阜造園,建設業,1863,2.15,3,-2,3,-3,15,11,19,15,61
東証PRM,7148,(株)ＦＰＧ,証券業,1549,5.98,15,28,3,-11,15,9,-8,9,60
東証PRM,9341,(株)ＧＥＮＯＶＡ,サービス業,559,5.37,15,28,4,0,0,-2,6,9,60
東証PRM,3231,野村不動産ホールディングス(株),不動産業,1001.5,4.39,21,32,9,-23,21,19,-10,-9,60
東証PRM,2471,(株)エスプール,サービス業,238,4.2,9,6,9,9,17,11,-10,9,60
東証STD,2927,(株)ＡＦＣ－ＨＤアムスライフサイエンス,食料品,865,4.16,15,2,3,3,3,19,0,15,60
東証STD,9763,丸建リース(株),卸売業,1299,4.03,15,2,15,-3,11,13,4,3,60
東証PRM,4251,恵和(株),化学,1245,4.02,-3,34,-2,0,12,3,7,9,60
東証PRM,5011,ニチレキグループ(株),石油・石炭製品,2043,3.92,15,-2,-3,-3,21,9,20,3,60
名証,9471,(株)文溪堂,,1145,3.74,9,-2,-3,3,-9,27,20,15,60
東証PRM,7925,前澤化成工業(株),化学,1880,3.72,9,2,3,3,13,-15,30,15,60
東証PRM,3636,(株)三菱総合研究所,情報・通信,4490,3.67,9,2,3,3,21,15,10,-3,60
東証STD,4231,タイガースポリマー(株),化学,1002,3.49,15,-6,-3,-9,11,11,20,21,60
東証STD,6819,伊豆シャボテンリゾート(株),サービス業,473,3.17,9,6,-3,9,3,6,21,9,60
東証PRM,1926,ライト工業(株),建設業,3860,3.06,15,-2,3,-9,21,5,18,9,60
東証STD,1716,第一カッター興業(株),建設業,1412,2.83,-3,-6,3,-3,15,11,22,21,60
東証PRM,8729,ソニーフィナンシャルグループ(株),保険業,140.2,2.71,9,0,9,9,19,9,-10,15,60
東証PRM,9729,(株)トーカイ,サービス業,2596,2.62,15,-10,3,-3,9,11,20,15,60
東証GRT,6545,(株)インターネットインフィニティー,サービス業,710,2.54,21,6,9,9,3,5,-2,9,60
東証PRM,4980,デクセリアルズ(株),化学,2719.5,2.13,-3,32,9,9,1,-9,12,9,60
