証券コード,年度,売上高,営業利益,営業利益率(%),EPS,営業CF,現金等,一株配当,配当性向(%),自己資本比率(%)
2107,2016/03,14469000000,610000000,4.22,96.82,854000000,2157000000,30,30.9,64.3
2108,2016/03,57823000000,2011000000,3.48,95.47,4594000000,11452000000,50,52.4,69.2
2109,2016/03,101379000000,5490000000,5.42,283.87,13946000000,17544000000,70,24.7,58.9
2112,2016/03,26842000000,1020000000,3.80,22.83,1281000000,1179000000,5,21.9,27.8
2114,2016/03,19312581000,959106000,4.97,11.61,1452988000,2808436000,4.5,38.7,69.7
2117,2016/03,49840000000,3063000000,6.15,97.95,1895000000,8689000000,59,60.2,85.9
2120,2016/03,25707617000,3994000000,15.54,22.87,3175375000,6625268000,4.5,-,67
2121,2016/03,208799000000,95033000000,45.51,734.59,69060000000,126316000000,147,20,73.6
2122,2016/09,23293603000,900704000,3.87,79.92,1401720000,3483692000,11,13.8,45.5
2124,2016/12,13838000000,4725000000,34.15,20.26,3693000000,10118000000,7.5,37.9,75.2
2127,2016/03,14778050000,7002085000,47.38,15.13,4440787000,2266755000,6.13,40.5,83.1
2130,2016/03,6469690000,448653000,6.93,24.46,322686000,1366062000,6,24.5,53.6
2134,2016/03,357492000,-94301000,-26.38,-15.4,26973000,77429000,,,20.1
2136,2016/03,5074268000,405351000,7.99,63.2,255244000,1261735000,15,23.7,46.9
2137,2016/03,3177929000,269031000,8.47,71.23,-248055000,2390645000,12,16.8,41.4
2138,2016/03,27787135000,2480808000,8.93,127.6,3042770000,7377684000,15,-,72.9
2139,2016/03,7059694000,489357000,6.93,47.97,240715000,212934000,10,20.8,46.1
2144,2016/03,7783938000,-655630000,-8.42,-121.38,-227530000,75204000,-,-,-23.1
2146,2016/03,44050000000,2462163000,5.59,2.69,517000000,6511000000,-,0.02,23.9
2148,2016/03,4376490000,819089000,18.72,28.21,687832000,2768080000,6.67,23.6,83.1
2150,2016/12,2196831000,194119000,8.84,3.66,339749000,1129553000,1,27.4,75.3
2151,2016/03,28560000000,2185000000,7.65,54.21,3153000000,9769000000,16,29.5,50.4
2152,2016/03,6305801000,843464000,13.38,42.52,559498000,5804195000,5,11.9,59.4
2153,2016/05,22470000000,1250000000,5.56,82.14,517000000,8960000000,13,15.8,70.8
2154,2016/06,30143000000,2549148000,8.46,39.43,1418000000,3930000000,20,50.7,44.6
2156,2016/03,9068843000,118411000,1.31,18.54,33987000,757635000,5,27,38.4
2157,2016/08,51170002000,4810172000,9.40,12.41,5737896000,6249594000,3.79,30.6,40.4
2158,2016/03,10553007000,71346000,0.68,-5.47,616566000,1795958000,3,-,33.8
2159,2016/04,15061854000,955760000,6.35,47.2,1047976000,2139139000,,,41.2
2160,2016/12,1306931000,-276000000,-21.12,-15.03,-518714000,2599131000,,,56
2162,2016/03,62179503000,1940100000,3.12,19,942011000,2748634000,3.5,18.4,19.5
2163,2016/01,4761224000,431957000,9.07,26.02,307717000,1301799000,8.75,33.6,64.6
2164,2016/08,3806122000,-164983000,-4.33,-49.82,-135452000,849197000,0.75,-,33.5
2168,2016/05,263728000000,3860000000,1.46,6.6,482000000,16441000000,12,181.3,22.2
2169,2016/12,8327688000,1028897000,12.36,85.31,1085203000,1419487000,40,46.8,73.5
2170,2016/12,33321000000,1924569000,5.78,16.58,1843000000,1082000000,5.3,32,25.8
2172,2016/06,2026841000,17793000,0.88,5.03,-38362000,182089000,8.4,166.9,62.3
2173,2016/03,8088886000,170553000,2.11,6.58,-88723000,1461109000,3.5,53.2,27.9
2174,2016/12,18558000000,2492000000,13.43,43.11,2716000000,11272000000,45,104.4,71.5
2175,2016/03,19069000000,2756539000,14.46,27.92,2244000000,5147000000,3.5,12.5,20.5
2176,2016/03,2116835000,-207548000,-9.80,-401.6,-171402000,144861000,-,-,19.8
2178,2016/02,37131747000,898213000,2.42,17.24,718778000,2668850000,18.75,108.8,54.5
2179,2016/03,10676230000,401182000,3.76,32.86,523407000,1194049000,9.8,29.8,33.4
2180,2016/06,13393753000,447351000,3.34,-15.11,24024000,1045045000,7.5,-,21.8
2181,2016/03,517597000000,28052000000,5.42,7.58,13279000000,51138000000,1.3,17.2,54.1
2183,2016/03,7666824000,2012427000,26.25,58.4,1817153000,2910773000,10,17.1,42.4
2185,2016/09,16499196000,1371224000,8.31,54.18,1177521000,5788559000,14.17,26.1,76.2
2186,2016/02,7717078000,610532000,7.91,46.61,145106000,1403635000,19.5,41.8,72.5
2191,2016/12,1801837000,-621517000,-34.49,-65.65,-565518000,709519000,-,-,33.5
2193,2016/12,16845658000,5012745000,29.76,8.71,5248835000,16543220000,10,-,85.8
2195,2016/12,4729691000,77948000,1.65,-1.5,430713000,579810000,-,-,13.4
2196,2016/03,26226748000,839111000,3.20,30.39,1340708000,3956940000,12,39.5,21.6
2198,2016/10,17911261000,2176360000,12.15,45.58,2599145000,5372713000,12,26.3,54.2
2201,2016/03,181868000000,11456000000,6.30,77.73,16715000000,26714000000,17.5,22.5,45.7
2204,2016/03,41368309000,1211831000,2.93,125.5,1925113000,2384972000,100,79.7,54.3
2206,2016/03,338437000000,17110000000,5.06,211.99,17658000000,52010000000,40,18.9,63.1
2207,2016/03,21390000000,482000000,2.25,45.34,2259000000,2800000000,20,44.1,74.4
2208,2016/03,109561000000,4368000000,3.99,107.88,6366000000,14596000000,17,15.8,55.4
2209,2016/03,38644792000,742771000,1.92,36.77,2952950000,904102000,20,54.4,46.3
2211,2016/12,104400000000,2514000000,2.41,50.24,6345000000,8386000000,10,-,49.3
2212,2016/12,1041943000000,35169000000,3.38,82.82,62763000000,104344000000,18,21.7,39.6
2215,2016/12,26693000000,464000000,1.74,59.22,1208000000,2891000000,,,46.5
2216,2016/12,19716781000,591502000,3.00,11.51,1970044000,2305943000,5,43.4,54.3
2217,2016/01,28666822000,1234997000,4.31,35.23,1593197000,1140089000,6.67,18.9,61.1
2218,2016/03,17790460000,417487000,2.35,133.77,523298000,1827460000,-,-,33.1
2220,2016/03,97316000000,4579000000,4.71,187.47,6473000000,5710000000,12,19.2,59.4
2221,2016/03,22378181000,391355000,1.75,25.81,1774971000,818484000,9,34.9,72.3
2222,2016/03,26612499000,3276891000,12.31,14.82,3244422000,3253975000,4,27,60.1
2224,2016/03,5493912000,153875000,2.80,28.55,414814000,245820000,7,24.5,22.5
2226,2016/06,32443000000,445381000,1.37,24.65,1210000000,4089000000,23.75,96.1,59.6
2228,2016/08,3162147000,-84747000,-2.68,-57.74,45743000,317604000,30,-52,44
2229,2016/03,246129000000,28125000000,11.43,125.88,22541000000,47323000000,35,27.8,69.2
2230,2016/05,1870848000,119432000,6.38,47.77,32145000,196573000,-,-,18
2264,2016/03,601499000000,14317000000,2.38,107,28223000000,6203000000,17.5,16.4,33.8
2266,2016/12,47115000000,5197323000,11.03,173.88,3636000000,10718000000,20,11.5,63.1
2267,2016/03,390412000000,40057000000,10.26,87.27,62149000000,101799000000,25,28.6,57.5
2268,2016/12,19706283000,486254000,2.47,18.2,2542222000,1845132000,40,219.8,52.2
2269,2016/03,1223746000000,77781000000,6.36,212.53,105155000000,31516000000,45,21.2,47.8
2270,2016/03,578328000000,14004000000,2.42,221.8,26433000000,14797000000,30,13.5,37.8
2281,2016/03,361223000000,8247000000,2.28,131.68,5209000000,6927000000,20,15.2,41.1
2282,2016/03,1229324000000,49207000000,4.00,213.83,52535000000,67321000000,66,126.3,52.2
2286,2016/03,48245864000,819494000,1.70,43.13,1114950000,1415375000,-,-,17.7
2288,2016/03,229543000000,4168000000,1.82,99.24,11613000000,17001000000,35,35.3,57.8
2291,2016/03,28309000000,607000000,2.14,35.95,1237000000,3177000000,15,41.67,35.4
2292,2016/02,242566000000,8428000000,3.47,181.63,6218000000,27019000000,32,17.6,43.7
2293,2016/03,30366205000,181599000,0.60,74.42,349029000,1700192000,15,20.2,24.8
2294,2016/02,43527000000,2388000000,5.49,120.02,2082000000,5720000000,45,37.5,73.2
2300,2016/02,6868230000,139613000,2.03,5742.51,212420000,771466000,11,110.5,73
